time,prediction,entry_long,exit_long,entry_short,exit_short,stop_hit,tp_hit,trail_hit,exit_reason
0,,False,False,False,False,False,False,False,
1,,False,False,False,False,False,False,False,
2,,False,False,False,False,False,False,False,
3,,False,False,False,False,False,False,False,
4,,False,False,False,False,False,False,False,
5,,False,False,False,False,False,False,False,
6,,False,False,False,False,False,False,False,
7,,False,False,False,False,False,False,False,
8,,False,False,False,False,False,False,False,
9,,False,False,False,False,False,False,False,
10,,False,False,False,False,False,False,False,
11,,False,False,False,False,False,False,False,
12,,False,False,False,False,False,False,False,
13,,False,False,False,False,False,False,False,
14,,False,False,False,False,False,False,False,
15,,False,False,False,False,False,False,False,
16,,False,False,False,False,False,False,False,
17,,False,False,False,False,False,False,False,
18,-1.0,False,False,True,False,False,False,False,
19,-3.0,False,False,False,False,False,False,False,
20,-1.0,False,False,False,False,False,False,False,
21,-3.0,False,False,False,False,False,False,False,
22,-5.0,False,False,False,False,False,False,False,
23,-5.0,False,False,False,False,False,False,False,
24,-3.0,False,False,False,False,False,False,False,
25,-5.0,False,False,False,False,False,False,False,
26,-5.0,False,False,False,False,False,False,False,
27,-7.0,False,False,False,False,False,False,False,
28,-3.0,False,False,False,False,False,False,False,
29,-1.0,False,False,False,True,True,False,True,trail
30,-1.0,False,False,True,False,False,False,False,
31,-5.0,False,False,False,False,False,False,False,
32,-1.0,False,False,False,True,True,False,True,trail
33,-5.0,False,False,True,False,False,False,False,
34,-5.0,False,False,False,True,True,False,True,trail
35,-1.0,False,False,True,False,False,False,False,
36,-5.0,False,False,False,True,True,False,True,trail
37,-5.0,False,False,True,False,False,False,False,
38,-5.0,False,False,False,False,False,False,False,
39,-5.0,False,False,False,False,False,False,False,
40,-3.0,False,False,False,False,False,False,False,
41,-3.0,False,False,False,True,True,False,True,trail
42,-1.0,False,False,True,False,False,False,False,
43,1.0,False,False,False,False,False,False,False,
44,-1.0,False,False,False,False,False,False,False,
45,-1.0,False,False,False,False,False,False,False,
46,-1.0,False,False,False,False,False,False,False,
47,-1.0,False,False,False,False,False,False,False,
48,-1.0,False,False,False,False,False,False,False,
49,1.0,False,False,False,False,False,False,False,
50,3.0,False,False,False,False,False,False,False,
51,1.0,False,False,False,True,True,False,True,trail
52,3.0,True,False,False,False,False,False,False,
53,1.0,False,False,False,False,False,False,False,
54,-5.0,False,True,False,False,True,False,True,trail
55,-5.0,False,False,True,False,False,False,False,
56,-1.0,False,False,False,True,True,False,True,trail
57,-1.0,False,False,True,False,False,False,False,
58,1.0,False,False,False,True,True,False,True,trail
59,-5.0,False,False,True,False,False,False,False,
60,-5.0,False,False,False,False,False,False,False,
61,-5.0,False,False,False,False,False,False,False,
62,-5.0,False,False,False,False,False,False,False,
63,-3.0,False,False,False,False,False,False,False,
64,-7.0,False,False,False,False,False,False,False,
65,-1.0,False,False,False,False,False,False,False,
66,-1.0,False,False,False,False,False,False,False,
67,1.0,False,False,False,False,False,False,False,
68,3.0,False,False,False,False,False,False,False,
69,-1.0,False,False,False,True,False,True,False,tp
70,-5.0,False,False,True,False,False,False,False,
71,-5.0,False,False,False,False,False,False,False,
72,3.0,False,False,False,True,True,False,False,sl
73,1.0,True,False,False,False,False,False,False,
74,-5.0,False,True,False,False,True,False,True,trail
75,-3.0,False,False,True,False,False,False,False,
76,-3.0,False,False,False,False,False,False,False,
77,-3.0,False,False,False,False,False,False,False,
78,-3.0,False,False,False,False,False,False,False,
79,-3.0,False,False,False,False,False,False,False,
80,1.0,False,False,False,True,True,False,True,trail
81,-3.0,False,False,True,False,False,False,False,
82,-3.0,False,False,False,False,False,False,False,
83,-1.0,False,False,False,False,False,False,False,
84,-1.0,False,False,False,True,True,False,True,trail
85,1.0,True,False,False,False,False,False,False,
86,3.0,False,False,False,False,False,False,False,
87,1.0,False,False,False,False,False,False,False,
88,-1.0,False,False,False,False,False,False,False,
89,1.0,False,False,False,False,False,False,False,
90,1.0,False,True,False,False,True,False,True,trail
91,1.0,True,False,False,False,False,False,False,
92,3.0,False,False,False,False,False,False,False,
93,3.0,False,False,False,False,False,False,False,
94,-1.0,False,True,False,False,True,False,True,trail
95,-1.0,False,False,True,False,False,False,False,
96,1.0,False,False,False,False,False,False,False,
97,1.0,False,False,False,False,False,False,False,
98,1.0,False,False,False,True,True,False,True,trail
99,1.0,True,False,False,False,False,False,False,
100,-3.0,False,True,False,False,True,False,True,trail
101,-1.0,False,False,True,False,False,False,False,
102,-1.0,False,False,False,False,False,False,False,
103,-1.0,False,False,False,False,False,False,False,
104,-1.0,False,False,False,False,False,False,False,
105,-3.0,False,False,False,False,False,False,False,
106,-3.0,False,False,False,False,False,False,False,
107,-5.0,False,False,False,True,True,False,True,trail
108,-5.0,False,False,True,False,False,False,False,
109,-7.0,False,False,False,True,True,False,True,trail
110,-5.0,False,False,True,False,False,False,False,
111,-7.0,False,False,False,False,False,False,False,
112,-1.0,False,False,False,False,False,False,False,
113,-1.0,False,False,False,False,False,False,False,
114,1.0,False,False,False,True,True,False,True,trail
115,3.0,True,False,False,False,False,False,False,
116,5.0,False,False,False,False,False,False,False,
117,-3.0,False,True,False,False,True,False,True,trail
118,-1.0,False,False,True,False,False,False,False,
119,-3.0,False,False,False,False,False,False,False,
120,-3.0,False,False,False,False,False,False,False,
121,1.0,False,False,False,False,False,False,False,
122,-3.0,False,False,False,False,False,False,False,
123,-5.0,False,False,False,False,False,False,False,
124,-7.0,False,False,False,False,False,False,False,
125,-5.0,False,False,False,False,False,False,False,
126,-5.0,False,False,False,False,False,False,False,
127,-5.0,False,False,False,False,False,False,False,
128,-5.0,False,False,False,True,False,True,False,tp
129,-3.0,False,False,True,False,False,False,False,
130,-1.0,False,False,False,True,True,False,True,trail
131,-5.0,False,False,True,False,False,False,False,
132,-7.0,False,False,False,False,False,False,False,
133,-5.0,False,False,False,False,False,False,False,
134,-3.0,False,False,False,False,False,False,False,
135,-5.0,False,False,False,False,False,False,False,
136,-5.0,False,False,False,False,False,False,False,
137,-1.0,False,False,False,False,False,False,False,
138,-1.0,False,False,False,False,False,False,False,
139,-1.0,False,False,False,True,True,False,True,trail
140,-3.0,False,False,True,False,False,False,False,
141,-3.0,False,False,False,False,False,False,False,
142,3.0,False,False,False,True,True,False,True,trail
143,-3.0,False,False,True,False,False,False,False,
144,3.0,False,False,False,False,False,False,False,
145,1.0,False,False,False,False,False,False,False,
146,-3.0,False,False,False,False,False,False,False,
147,-3.0,False,False,False,False,False,False,False,
148,-3.0,False,False,False,True,True,False,True,trail
149,-5.0,False,False,True,False,False,False,False,
150,-5.0,False,False,False,False,False,False,False,
151,-1.0,False,False,False,False,False,False,False,
152,3.0,False,False,False,True,True,False,True,trail
153,-1.0,False,False,True,False,False,False,False,
154,-1.0,False,False,False,True,True,False,True,trail
155,-3.0,False,False,True,False,False,False,False,
156,-3.0,False,False,False,False,False,False,False,
157,-7.0,False,False,False,False,False,False,False,
158,1.0,False,False,False,False,False,False,False,
159,-3.0,False,False,False,False,False,False,False,
160,-5.0,False,False,False,False,False,False,False,
161,-1.0,False,False,False,True,True,False,True,trail
162,5.0,True,False,False,False,False,False,False,
163,1.0,False,False,False,False,False,False,False,
164,1.0,False,False,False,False,False,False,False,
165,-3.0,False,False,False,False,False,False,False,
166,-3.0,False,True,False,False,True,False,True,trail
167,5.0,True,False,False,False,False,False,False,
